Farming_off,Fishery_off,Gardening_off,Pet grooming_off,Pet training_off,Drawing_off,Painting_off,Sculpture_off,Print making_off,Poetry_off,Make-up_off,Facials_off,Pedicure & Manicure_off,Hair care_off,Ballet_off,Tap dance_off,Jazz dance_off,Salsa_off,Ballroom dance_off,Piano_off,Guitar_off,Drumming_off,Trumpet_off,Composing_off,Script writing_off,Play writing_off,Poetry writing_off,Caligraphy_off,Blogging_off,Journalism_off,German_off,Spanish_off,Arabic_off,French_off,English_off,Nutrition_off,Fitness & Excercise_off,Wellness_off,Tennis_off,Football_off,Basketball_off,Yoga_off,Baseball_off,Gymnastic_off,Cooking_off,Baking_off,Grilling_off,Meal planning_off,Sautéing_off,Programming_off,Graphic design_off,Data Analysis_off,Photoshop_off,Social Media_off,Camera handling_off,Photo editing_off,Lighting_off,Landscape photography_off,Portrait photography_off,Image processing_off,Video editing_off,Film making_off,Animation_off,Motion graphics_off,Visual effects_off,Expert_skill,Matched_skills_samples,Skill Domains
,,,,,Novice,Beginner,Novice,Expert,Advanced,,,,,,,,,,Novice,Advanced,Novice,Beginner,Novice,,,,,,,,,,,,,,,Beginner,Beginner,Novice,Advanced,Novice,Expert,,,,,,,,,,,,,,,,,,,,,,Print making_off,"['Piano_off', 'Guitar_off', 'Drumming_off', 'Trumpet_off', 'Composing_off', 'Drawing_off', 'Painting_off', 'Sculpture_off', 'Poetry_off', 'Tennis_off', 'Football_off', 'Basketball_off', 'Yoga_off', 'Baseball_off', 'Gymnastic_off']","['Music', 'Art', 'Sports']"
,,,,,,,,,,,,,,,,,,,Novice,Novice,Expert,Novice,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novice,Expert,Expert,Novice,Expert,Beginner,Novice,Advanced,Advanced,Novice,Novice,Drumming_off,"['Camera handling_off', 'Photo editing_off', 'Lighting_off', 'Landscape photography_off', 'Portrait photography_off', 'Image processing_off', 'Piano_off', 'Guitar_off', 'Trumpet_off', 'Composing_off', 'Video editing_off', 'Film making_off', 'Animation_off', 'Motion graphics_off', 'Visual effects_off']","['Photo', 'Music', 'Video']"
Beginner,Novice,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Intermediate,Expert,Beginner,Novice,Animation_off,"['Farming_off', 'Fishery_off', 'Gardening_off', 'Video editing_off', 'Film making_off', 'Motion graphics_off', 'Visual effects_off']","['Agriculture', 'Video']"
,,,,,Intermediate,Expert,Advanced,Advanced,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novice,Novice,Advanced,Novice,Expert,Beginner,,,,,,Portrait photography_off,"['Drawing_off', 'Painting_off', 'Sculpture_off', 'Print making_off', 'Poetry_off', 'Camera handling_off', 'Photo editing_off', 'Lighting_off', 'Landscape photography_off', 'Image processing_off']","['Art', 'Photo']"
,,,Beginner,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Novice,Novice,,,,,,,,,,,,,,,,,,,,,,,Novice,Novice,Novice,Expert,Novice,Motion graphics_off,"['Nutrition_off', 'Fitness & Excercise_off', 'Wellness_off', 'Video editing_off', 'Film making_off', 'Animation_off', 'Visual effects_off', 'Pet grooming_off', 'Pet training_off']","['Health', 'Video', 'Animal Care']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novice,Intermediate,Intermediate,Novice,Intermediate,Intermediate,Novice,Intermediate,Advanced,Novice,Novice,Expert,Intermediate,Novice,Advanced,Novice,Video editing_off,"['Programming_off', 'Graphic design_off', 'Data Analysis_off', 'Photoshop_off', 'Social Media_off', 'Camera handling_off', 'Photo editing_off', 'Lighting_off', 'Landscape photography_off', 'Portrait photography_off', 'Image processing_off', 'Film making_off', 'Animation_off', 'Motion graphics_off', 'Visual effects_off']","['Technology', 'Photo', 'Video']"
,,,,,,,,,,,,,,,,,,,Novice,Intermediate,Novice,Expert,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trumpet_off,"['Piano_off', 'Guitar_off', 'Drumming_off', 'Composing_off']",['Music']
,,,,,,,,,,Intermediate,Intermediate,Advanced,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hair care_off,"['Make-up_off', 'Facials_off', 'Pedicure & Manicure_off']",['Beauty']
,,,,,,,,,,,,,,,,,,,Intermediate,Expert,Intermediate,Advanced,Beginner,,,,,,,Advanced,Novice,Beginner,Novice,Intermediate,,,,Intermediate,Intermediate,Novice,Intermediate,Beginner,Novice,,,,,,,,,,,,,,,,,,,,,,Guitar_off,"['German_off', 'Spanish_off', 'Arabic_off', 'French_off', 'English_off', 'Tennis_off', 'Football_off', 'Basketball_off', 'Yoga_off', 'Baseball_off', 'Gymnastic_off', 'Piano_off', 'Drumming_off', 'Trumpet_off', 'Composing_off']","['Language', 'Sports', 'Music']"
,,,,,,,,,,Novice,Novice,Expert,Advanced,,,,,,Beginner,Intermediate,Beginner,Expert,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trumpet_off,"['Piano_off', 'Guitar_off', 'Drumming_off', 'Composing_off', 'Make-up_off', 'Facials_off', 'Pedicure & Manicure_off', 'Hair care_off']","['Music', 'Beauty']"
Beginner,Beginner,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Expert,Novice,Intermediate,Novice,,,,,,,,,,,,,,,,,Baking_off,"['Farming_off', 'Fishery_off', 'Gardening_off', 'Cooking_off', 'Grilling_off', 'Meal planning_off', 'Sautéing_off']","['Agriculture', 'Food']"
,,,Novice,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Expert,Advanced,Advanced,Beginner,Intermediate,,,,,,,,,,,,,,,,,,,,,,Football_off,"['Pet grooming_off', 'Pet training_off', 'Tennis_off', 'Basketball_off', 'Yoga_off', 'Baseball_off', 'Gymnastic_off']","['Animal Care', 'Sports']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novice,Beginner,Novice,Expert,Beginner,Novice,,,,,,Novice,Beginner,Advanced,Novice,Novice,,,,,,,,,,,,Yoga_off,"['Programming_off', 'Graphic design_off', 'Data Analysis_off', 'Photoshop_off', 'Social Media_off', 'Tennis_off', 'Football_off', 'Basketball_off', 'Baseball_off', 'Gymnastic_off']","['Technology', 'Sports']"
,,,,,,,,,,,,,,,,,,,,,,,,Novice,Novice,Beginner,Expert,Novice,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Journalism_off,"['Script writing_off', 'Play writing_off', 'Poetry writing_off', 'Caligraphy_off', 'Blogging_off']",['Writing']
,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Expert,Beginner,Beginner,Novice,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Play writing_off,"['Script writing_off', 'Poetry writing_off', 'Caligraphy_off', 'Blogging_off', 'Journalism_off']",['Writing']
Advanced,Novice,Beginner,,,,,,,,,,,,,,,,,,,,,,Beginner,Beginner,Beginner,Novice,Novice,Intermediate,,,,,,,,,,,,,,,Novice,Novice,Expert,Novice,Advanced,,,,,,,,,,,,,,,,,Grilling_off,"['Farming_off', 'Fishery_off', 'Gardening_off', 'Cooking_off', 'Baking_off', 'Meal planning_off', 'Sautéing_off', 'Script writing_off', 'Play writing_off', 'Poetry writing_off', 'Caligraphy_off', 'Blogging_off', 'Journalism_off']","['Agriculture', 'Food', 'Writing']"
,,,,,,,,,,Novice,Beginner,Novice,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novice,Novice,Novice,Novice,Intermediate,,,,,,,,,,,,Hair care_off,"['Make-up_off', 'Facials_off', 'Pedicure & Manicure_off', 'Programming_off', 'Graphic design_off', 'Data Analysis_off', 'Photoshop_off', 'Social Media_off']","['Beauty', 'Technology']"
,,,,,,,,,,Novice,Expert,Advanced,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novice,Novice,Beginner,Expert,Novice,Facials_off,"['Make-up_off', 'Pedicure & Manicure_off', 'Hair care_off', 'Video editing_off', 'Film making_off', 'Animation_off', 'Motion graphics_off', 'Visual effects_off']","['Beauty', 'Video']"
Novice,Intermediate,Novice,,,,,,,,,,,,Advanced,Advanced,Novice,Beginner,Expert,,,,,,,,,,,,,,,,,,,,Novice,Advanced,Beginner,Novice,Beginner,Advanced,,,,,,,,,,,,,,,,,,,,,,Ballroom dance_off,"['Ballet_off', 'Tap dance_off', 'Jazz dance_off', 'Salsa_off', 'Tennis_off', 'Football_off', 'Basketball_off', 'Yoga_off', 'Baseball_off', 'Gymnastic_off', 'Farming_off', 'Fishery_off', 'Gardening_off']","['Dance', 'Sports', 'Agriculture']"
,,,,,,,,,,Expert,Beginner,Novice,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Make-up_off,"['Facials_off', 'Pedicure & Manicure_off', 'Hair care_off']",['Beauty']
,,,,,,,,,,,,,,Novice,Novice,Beginner,Beginner,Novice,,,,,,,,,,,,,,,,,,,,Novice,Intermediate,Novice,Beginner,Beginner,Expert,,,,,,,,,,,,,,,,,Novice,Novice,Novice,Advanced,Beginner,Gymnastic_off,"['Tennis_off', 'Football_off', 'Basketball_off', 'Yoga_off', 'Baseball_off', 'Ballet_off', 'Tap dance_off', 'Jazz dance_off', 'Salsa_off', 'Ballroom dance_off', 'Video editing_off', 'Film making_off', 'Animation_off', 'Motion graphics_off', 'Visual effects_off']","['Sports', 'Dance', 'Video']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Beginner,Novice,,,,,,,,,,,,,,,,,,,,,,,Novice,Novice,Beginner,Expert,Intermediate,Motion graphics_off,"['Video editing_off', 'Film making_off', 'Animation_off', 'Visual effects_off', 'Nutrition_off', 'Fitness & Excercise_off', 'Wellness_off']","['Video', 'Health']"
,,,,,,,,,,,,,,Advanced,Expert,Novice,Novice,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tap dance_off,"['Ballet_off', 'Jazz dance_off', 'Salsa_off', 'Ballroom dance_off']",['Dance']
,,,,,,,,,,Novice,Beginner,Advanced,Novice,,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Beginner,Beginner,Expert,Beginner,Novice,Novice,Beginner,Novice,Novice,Intermediate,,,,,,,,,,,,,,,,,Yoga_off,"['Make-up_off', 'Facials_off', 'Pedicure & Manicure_off', 'Hair care_off', 'Tennis_off', 'Football_off', 'Basketball_off', 'Baseball_off', 'Gymnastic_off', 'Cooking_off', 'Baking_off', 'Grilling_off', 'Meal planning_off', 'Sautéing_off']","['Beauty', 'Sports', 'Food']"
,,,,,Expert,Intermediate,Intermediate,Novice,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drawing_off,"['Painting_off', 'Sculpture_off', 'Print making_off', 'Poetry_off']",['Art']
,,,,,,,,,,,,,,Intermediate,Beginner,Intermediate,Beginner,Expert,,,,,,,,,,,,Novice,Expert,Novice,Beginner,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ballroom dance_off,"['German_off', 'Spanish_off', 'Arabic_off', 'French_off', 'English_off', 'Ballet_off', 'Tap dance_off', 'Jazz dance_off', 'Salsa_off']","['Language', 'Dance']"
,,,,,,,,,,Novice,Intermediate,Intermediate,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hair care_off,"['Make-up_off', 'Facials_off', 'Pedicure & Manicure_off']",['Beauty']
,,,,,,,,,,Expert,Novice,Novice,Novice,,,,,,,,,,,,,,,,,Expert,Beginner,Beginner,Intermediate,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,German_off,"['Spanish_off', 'Arabic_off', 'French_off', 'English_off', 'Make-up_off', 'Facials_off', 'Pedicure & Manicure_off', 'Hair care_off']","['Language', 'Beauty']"
Intermediate,Novice,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Novice,Expert,Novice,Novice,,,,,,,,,,,,,,,,,Grilling_off,"['Farming_off', 'Fishery_off', 'Gardening_off', 'Cooking_off', 'Baking_off', 'Meal planning_off', 'Sautéing_off']","['Agriculture', 'Food']"
,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Intermediate,Intermediate,Beginner,Intermediate,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Journalism_off,"['Script writing_off', 'Play writing_off', 'Poetry writing_off', 'Caligraphy_off', 'Blogging_off']",['Writing']
,,,,,,,,,,Intermediate,Intermediate,Expert,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Novice,Novice,Novice,Advanced,,,,,,,,,,,,,,,,,Pedicure & Manicure_off,"['Make-up_off', 'Facials_off', 'Hair care_off', 'Cooking_off', 'Baking_off', 'Grilling_off', 'Meal planning_off', 'Sautéing_off']","['Beauty', 'Food']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novice,Intermediate,Beginner,Novice,Expert,,,,,,,,,,,,,,,Novice,Novice,Novice,Intermediate,Novice,Novice,Expert,Novice,Intermediate,Intermediate,Novice,,,,,,English_off,"['Camera handling_off', 'Photo editing_off', 'Lighting_off', 'Landscape photography_off', 'Portrait photography_off', 'Image processing_off', 'German_off', 'Spanish_off', 'Arabic_off', 'French_off', 'Programming_off', 'Graphic design_off', 'Data Analysis_off', 'Photoshop_off', 'Social Media_off']","['Photo', 'Language', 'Technology']"
,,,,,Intermediate,Novice,Novice,Beginner,Expert,,,,,,,,,,,,,,,Novice,Advanced,Intermediate,Beginner,Intermediate,Intermediate,Beginner,Intermediate,Novice,Advanced,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poetry_off,"['Drawing_off', 'Painting_off', 'Sculpture_off', 'Print making_off', 'Script writing_off', 'Play writing_off', 'Poetry writing_off', 'Caligraphy_off', 'Blogging_off', 'Journalism_off', 'German_off', 'Spanish_off', 'Arabic_off', 'French_off', 'English_off']","['Art', 'Writing', 'Language']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Novice,Novice,Beginner,Beginner,Expert,Expert,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fitness & Excercise_off,"['German_off', 'Spanish_off', 'Arabic_off', 'French_off', 'English_off', 'Nutrition_off', 'Wellness_off']","['Language', 'Health']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Advanced,Expert,Novice,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arabic_off,"['German_off', 'Spanish_off', 'French_off', 'English_off']",['Language']
,,,Advanced,Advanced,,,,,,,,,,,,,,,,,,,,Novice,Advanced,Expert,Novice,Novice,Expert,,,,,,,,,,,,,,,,,,,,,,,,,Novice,Novice,Novice,Expert,Beginner,Expert,,,,,,Image processing_off,"['Script writing_off', 'Play writing_off', 'Poetry writing_off', 'Caligraphy_off', 'Blogging_off', 'Journalism_off', 'Pet grooming_off', 'Pet training_off', 'Camera handling_off', 'Photo editing_off', 'Lighting_off', 'Landscape photography_off', 'Portrait photography_off']","['Writing', 'Animal Care', 'Photo']"
,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Intermediate,Advanced,Advanced,Intermediate,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Journalism_off,"['Script writing_off', 'Play writing_off', 'Poetry writing_off', 'Caligraphy_off', 'Blogging_off']",['Writing']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Intermediate,Novice,Beginner,Novice,Beginner,,,,,,Camera handling_off,"['Photo editing_off', 'Lighting_off', 'Landscape photography_off', 'Portrait photography_off', 'Image processing_off']",['Photo']
,,,Novice,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Advanced,Beginner,Beginner,Novice,Advanced,,,,,,,,,,,,,,,,,,,,,,Tennis_off,"['Football_off', 'Basketball_off', 'Yoga_off', 'Baseball_off', 'Gymnastic_off', 'Pet grooming_off', 'Pet training_off']","['Sports', 'Animal Care']"
,,,,,,,,,,Intermediate,Novice,Advanced,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Beginner,Intermediate,Expert,Novice,Expert,Novice,Novice,Beginner,Beginner,Beginner,Landscape photography_off,"['Video editing_off', 'Film making_off', 'Animation_off', 'Motion graphics_off', 'Visual effects_off', 'Make-up_off', 'Facials_off', 'Pedicure & Manicure_off', 'Hair care_off', 'Camera handling_off', 'Photo editing_off', 'Lighting_off', 'Portrait photography_off', 'Image processing_off']","['Video', 'Beauty', 'Photo']"
,,,,,,,,,,Novice,Intermediate,Novice,Beginner,Expert,Novice,Intermediate,Novice,Novice,Beginner,Expert,Beginner,Beginner,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ballet_off,"['Tap dance_off', 'Jazz dance_off', 'Salsa_off', 'Ballroom dance_off', 'Make-up_off', 'Facials_off', 'Pedicure & Manicure_off', 'Hair care_off', 'Piano_off', 'Guitar_off', 'Drumming_off', 'Trumpet_off', 'Composing_off']","['Dance', 'Beauty', 'Music']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novice,Novice,Intermediate,Beginner,Novice,Expert,,,,,,Image processing_off,"['Camera handling_off', 'Photo editing_off', 'Lighting_off', 'Landscape photography_off', 'Portrait photography_off']",['Photo']
,,,,,Intermediate,Novice,Novice,Advanced,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poetry_off,"['Drawing_off', 'Painting_off', 'Sculpture_off', 'Print making_off']",['Art']
,,,,,,,,,,,,,,,,,,,Expert,Novice,Novice,Novice,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Composing_off,"['Piano_off', 'Guitar_off', 'Drumming_off', 'Trumpet_off']",['Music']
,,,,,,,,,,Novice,Novice,Intermediate,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Beginner,Advanced,Expert,Intermediate,,,,,,,,,,,,Novice,Beginner,Advanced,Expert,Novice,Motion graphics_off,"['Cooking_off', 'Baking_off', 'Grilling_off', 'Meal planning_off', 'Sautéing_off', 'Make-up_off', 'Facials_off', 'Pedicure & Manicure_off', 'Hair care_off', 'Video editing_off', 'Film making_off', 'Animation_off', 'Visual effects_off']","['Food', 'Beauty', 'Video']"
,,,,,Novice,Expert,Novice,Novice,Novice,,,,,,,,,,,,,,,Beginner,Intermediate,Expert,Beginner,Novice,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Painting_off,"['Script writing_off', 'Play writing_off', 'Poetry writing_off', 'Caligraphy_off', 'Blogging_off', 'Journalism_off', 'Drawing_off', 'Sculpture_off', 'Print making_off', 'Poetry_off']","['Writing', 'Art']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Intermediate,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nutrition_off,"['Fitness & Excercise_off', 'Wellness_off']",['Health']
,,,Expert,Beginner,Beginner,Intermediate,Novice,Intermediate,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Novice,Novice,Beginner,Novice,,,,,,,,,,,,Programming_off,"['Graphic design_off', 'Data Analysis_off', 'Photoshop_off', 'Social Media_off', 'Pet grooming_off', 'Pet training_off', 'Drawing_off', 'Painting_off', 'Sculpture_off', 'Print making_off', 'Poetry_off']","['Technology', 'Animal Care', 'Art']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novice,Expert,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fitness & Excercise_off,"['Nutrition_off', 'Wellness_off']",['Health']
,,,,,,,,,,Novice,Novice,Intermediate,Advanced,,,,,,,,,,,,,,,,,,,,,,Expert,Intermediate,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nutrition_off,"['Fitness & Excercise_off', 'Wellness_off', 'Make-up_off', 'Facials_off', 'Pedicure & Manicure_off', 'Hair care_off']","['Health', 'Beauty']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Novice,Novice,Novice,Advanced,Beginner,Beginner,Novice,Novice,Novice,Novice,Camera handling_off,"['Video editing_off', 'Film making_off', 'Animation_off', 'Motion graphics_off', 'Visual effects_off', 'Photo editing_off', 'Lighting_off', 'Landscape photography_off', 'Portrait photography_off', 'Image processing_off']","['Video', 'Photo']"
Novice,Novice,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Novice,Beginner,Novice,Expert,,,,,,,,,,,,,,,,,Sautéing_off,"['Farming_off', 'Fishery_off', 'Gardening_off', 'Cooking_off', 'Baking_off', 'Grilling_off', 'Meal planning_off']","['Agriculture', 'Food']"
,,,,,,,,,,,,,,,,,,,Novice,Beginner,Novice,Novice,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Expert,Intermediate,Novice,Novice,,,,,,,,,,,,Composing_off,"['Piano_off', 'Guitar_off', 'Drumming_off', 'Trumpet_off', 'Programming_off', 'Graphic design_off', 'Data Analysis_off', 'Photoshop_off', 'Social Media_off']","['Music', 'Technology']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novice,Novice,Novice,,,,,,,,,,,,,,,,,Intermediate,Advanced,Beginner,Novice,Expert,Beginner,,,,,,Portrait photography_off,"['Nutrition_off', 'Fitness & Excercise_off', 'Wellness_off', 'Camera handling_off', 'Photo editing_off', 'Lighting_off', 'Landscape photography_off', 'Image processing_off']","['Health', 'Photo']"
,,,,,Novice,Expert,Beginner,Beginner,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Painting_off,"['Drawing_off', 'Sculpture_off', 'Print making_off', 'Poetry_off']",['Art']
Expert,Expert,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novice,Novice,Beginner,Novice,Beginner,Beginner,Beginner,Novice,Novice,Expert,Intermediate,Fishery_off,"['Camera handling_off', 'Photo editing_off', 'Lighting_off', 'Landscape photography_off', 'Portrait photography_off', 'Image processing_off', 'Farming_off', 'Gardening_off', 'Video editing_off', 'Film making_off', 'Animation_off', 'Motion graphics_off', 'Visual effects_off']","['Photo', 'Agriculture', 'Video']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Novice,Beginner,,,,,,,,,,,,,,,,,Expert,Expert,Advanced,Intermediate,Novice,Beginner,,,,,,Photo editing_off,"['Camera handling_off', 'Lighting_off', 'Landscape photography_off', 'Portrait photography_off', 'Image processing_off', 'Nutrition_off', 'Fitness & Excercise_off', 'Wellness_off']","['Photo', 'Health']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Novice,Novice,Intermediate,Expert,Visual effects_off,"['Video editing_off', 'Film making_off', 'Animation_off', 'Motion graphics_off']",['Video']
,,,,,,,,,,,,,,,,,,,Novice,Advanced,Intermediate,Expert,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trumpet_off,"['Piano_off', 'Guitar_off', 'Drumming_off', 'Composing_off']",['Music']
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Novice,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nutrition_off,"['Fitness & Excercise_off', 'Wellness_off']",['Health']
,,,,,,,,,,,,,,,,,,,Novice,Beginner,Novice,Expert,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trumpet_off,"['Piano_off', 'Guitar_off', 'Drumming_off', 'Composing_off']",['Music']
,,,,,,,,,,,,,,,,,,,,,,,,Novice,Novice,Novice,Intermediate,Novice,Advanced,,,,,,Beginner,Novice,Expert,,,,,,,,,,,,,,,,,Novice,Beginner,Beginner,Expert,Novice,Advanced,,,,,,Landscape photography_off,"['Script writing_off', 'Play writing_off', 'Poetry writing_off', 'Caligraphy_off', 'Blogging_off', 'Journalism_off', 'Camera handling_off', 'Photo editing_off', 'Lighting_off', 'Portrait photography_off', 'Image processing_off', 'Nutrition_off', 'Fitness & Excercise_off', 'Wellness_off']","['Writing', 'Photo', 'Health']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Intermediate,Beginner,,,,,,,,,,,,,,,,,Beginner,Expert,Novice,Novice,Novice,Intermediate,,,,,,Photo editing_off,"['Nutrition_off', 'Fitness & Excercise_off', 'Wellness_off', 'Camera handling_off', 'Lighting_off', 'Landscape photography_off', 'Portrait photography_off', 'Image processing_off']","['Health', 'Photo']"
Novice,Expert,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fishery_off,"['Farming_off', 'Gardening_off']",['Agriculture']
,,,,,,,,,,Intermediate,Intermediate,Advanced,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Intermediate,Beginner,Expert,Novice,Motion graphics_off,"['Video editing_off', 'Film making_off', 'Animation_off', 'Visual effects_off', 'Make-up_off', 'Facials_off', 'Pedicure & Manicure_off', 'Hair care_off']","['Video', 'Beauty']"
,,,,,,,,,,Novice,Beginner,Intermediate,Expert,Novice,Novice,Novice,Expert,Advanced,,,,,,,,,,,,,,,,,,,,Beginner,Beginner,Novice,Intermediate,Novice,Novice,,,,,,,,,,,,,,,,,,,,,,Hair care_off,"['Ballet_off', 'Tap dance_off', 'Jazz dance_off', 'Salsa_off', 'Ballroom dance_off', 'Tennis_off', 'Football_off', 'Basketball_off', 'Yoga_off', 'Baseball_off', 'Gymnastic_off', 'Make-up_off', 'Facials_off', 'Pedicure & Manicure_off']","['Dance', 'Sports', 'Beauty']"
Expert,Intermediate,Novice,,,,,,,,,,,,,,,,,,,,,,Novice,Beginner,Novice,Novice,Novice,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novice,Intermediate,Intermediate,Novice,Beginner,Farming_off,"['Video editing_off', 'Film making_off', 'Animation_off', 'Motion graphics_off', 'Visual effects_off', 'Fishery_off', 'Gardening_off', 'Script writing_off', 'Play writing_off', 'Poetry writing_off', 'Caligraphy_off', 'Blogging_off', 'Journalism_off']","['Video', 'Agriculture', 'Writing']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Expert,Novice,Novice,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spanish_off,"['German_off', 'Arabic_off', 'French_off', 'English_off']",['Language']
Intermediate,Expert,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Expert,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fishery_off,"['Farming_off', 'Gardening_off', 'Nutrition_off', 'Fitness & Excercise_off', 'Wellness_off']","['Agriculture', 'Health']"
