Programming_and_Software_Development_off,Project_Management_off,Accounting_and_Finance_off,Marketing_and_Advertising_off,Sales_and_Customer_Service_off,Human_Resources_and_Leadership_off,Graphic_Design_and_Illustration_off,Photography_and_Photo_Editing_off,Music_instruments_Composition_and_Production_off,Writing_and_Editing_off,Arts_and_Crafts_and_DIY_Projects_off,Learning_Foreign_Languages_off,Written_and_Oral_Communication_in_Various_Languages_off,Interpretation_and_Translation_off,Computer_and_Software_Application_Operation_off,Network_Administration_and_IT_Support_off,Electronics_and_Robotics_off,Web_Design_and_Development_off,Data_Analysis_and_Visualization_off,Interpersonal_Communication_off,Conflict_Resolution_and_Mediation_off,Empathy_and_Emotional_Intelligence_off,Leadership_Skills_and_Teamwork_off,Networking_and_Relationship_Management_off,Cooking_and_Baking_off,Gardening_and_Farming_off,DIY_and_Repairs_off,Driving_and_Vehicle_Maintenance_off,First_Aid_and_Life_Saving_Techniques_off,Mathematics_and_Sciences_off,History_and_Social_Sciences_off,Literature_and_Philosophy_off,Research_Methods_and_Academic_Writing_off,Academic_Reading_and_Critique_off,Time_Management_and_Organization_off,Stress_Management_and_Mindfulness_off,Financial_Planning_and_Budgeting_off,Self_Defense_and_Personal_Safety_off,Healthcare_and_Nutrition_off,Programming_and_Software_Development_dem,Project_Management_dem,Accounting_and_Finance_dem,Marketing_and_Advertising_dem,Sales_and_Customer_Service_dem,Human_Resources_and_Leadership_dem,Graphic_Design_and_Illustration_dem,Photography_and_Photo_Editing_dem,Music_instruments_Composition_and_Production_dem,Writing_and_Editing_dem,Arts_and_Crafts_and_DIY_Projects_dem,Learning_Foreign_Languages_dem,Written_and_Oral_Communication_in_Various_Languages_dem,Interpretation_and_Translation_dem,Computer_and_Software_Application_Operation_dem,Network_Administration_and_IT_Support_dem,Electronics_and_Robotics_dem,Web_Design_and_Development_dem,Data_Analysis_and_Visualization_dem,Interpersonal_Communication_dem,Conflict_Resolution_and_Mediation_dem,Empathy_and_Emotional_Intelligence_dem,Leadership_Skills_and_Teamwork_dem,Networking_and_Relationship_Management_dem,Cooking_and_Baking_dem,Gardening_and_Farming_dem,DIY_and_Repairs_dem,Driving_and_Vehicle_Maintenance_dem,First_Aid_and_Life_Saving_Techniques_dem,Mathematics_and_Sciences_dem,History_and_Social_Sciences_dem,Literature_and_Philosophy_dem,Research_Methods_and_Academic_Writing_dem,Academic_Reading_and_Critique_dem,Time_Management_and_Organization_dem,Stress_Management_and_Mindfulness_dem,Financial_Planning_and_Budgeting_dem,Self_Defense_and_Personal_Safety_dem,Healthcare_and_Nutrition_dem
,,,,,,,,,,,Advanced,Expert,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Intermediate,Beginner,,,,,,Beginner,Beginner,Advanced,Intermediate,Intermediate,Intermediate,Intermediate,Novice,Expert,Expert,Advanced,Expert,Beginner,Expert,Novice,Beginner,Expert,Advanced,Advanced,Advanced
,,,,,,,,,,,,,,,,,,,Beginner,Novice,Advanced,Novice,Intermediate,,,,,,,,,,,Expert,Intermediate,Intermediate,Novice,Novice,,,,,,,Novice,Expert,Advanced,Novice,Expert,Novice,Expert,Intermediate,,,,,,,,,,,Advanced,Advanced,Advanced,Beginner,Expert,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Novice,Intermediate,Novice,Expert,Intermediate,,,,,,Novice,Expert,Novice,Intermediate,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Beginner,Intermediate,Intermediate,Expert,,,,,,,,,,
,,,,,,Novice,Expert,Novice,Intermediate,Beginner,,,,,,,,,,,,,,Beginner,Beginner,Expert,Novice,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Expert,Intermediate,Expert,Intermediate,,,,,,,,,,
,,,,,,Expert,Novice,Intermediate,Intermediate,Intermediate,,,,,,,,,,,,,,Novice,Beginner,Beginner,Novice,Novice,,,,,,,,,,,Expert,Intermediate,Expert,Beginner,Beginner,Beginner,Expert,Expert,Intermediate,Intermediate,Beginner,,,,Beginner,Expert,Advanced,Novice,Novice,,,,,,,,,,,,,,,,Advanced,Beginner,Expert,Novice,Intermediate
,,,,,,,,,,,Advanced,Novice,Intermediate,Novice,Novice,Beginner,Intermediate,Beginner,Expert,Intermediate,Novice,Beginner,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Expert,Intermediate,Advanced,Intermediate,,,,,,,,,,
Novice,Beginner,Novice,Beginner,Advanced,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Intermediate,Expert,Intermediate,Expert,Beginner,Advanced,Advanced,Intermediate,Beginner,Intermediate,,,,,,,,,,,,,,,,,,,Novice,Advanced,Advanced,Intermediate,Novice,,,,,
,,,,,,,,,,,Beginner,Novice,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Expert,Advanced,Expert,Advanced,Advanced,Advanced,Expert,Advanced,Beginner,Expert,Advanced,Intermediate,Expert,Expert,Intermediate,Beginner,Expert,,,,,,Beginner,Expert,Beginner,Advanced,Expert,,,,,
Intermediate,Advanced,Expert,Novice,Novice,Novice,,,,,,,,,,,,,,Novice,Novice,Novice,Novice,Novice,Intermediate,Intermediate,Intermediate,Beginner,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Advanced,Intermediate,Expert,Expert,Advanced,Intermediate,Expert,Advanced,Advanced,,,,,
,,,,,,,,,,,,,,Novice,Novice,Advanced,Novice,Intermediate,Novice,Advanced,Intermediate,Novice,Novice,,,,,,,,,,,Advanced,Expert,Expert,Beginner,Novice,,,,,,,,,,,,Expert,Expert,Expert,Intermediate,Expert,Advanced,Beginner,Expert,Intermediate,Advanced,Intermediate,Expert,Expert,,,,,,Expert,Expert,Expert,Novice,Intermediate,Advanced,Expert,Beginner,Expert,Expert
,,,,,,,,,,,Advanced,Novice,Beginner,,,,,,Novice,Beginner,Novice,Intermediate,Intermediate,,,,,,,,,,,Expert,Novice,Beginner,Advanced,Intermediate,,,,,,,Novice,Beginner,Beginner,Intermediate,Expert,Advanced,Expert,Advanced,,,,,,,,,,,,,,,,Intermediate,Expert,Expert,Advanced,Advanced,Expert,Expert,Expert,Novice,Intermediate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Beginner,Expert,Novice,Beginner,,,,,,,Advanced,Beginner,Intermediate,Advanced,Expert,,,,,,,,,Beginner,Expert,Intermediate,Expert,Advanced,Advanced,Expert,Expert,Expert,Expert,,,,,,Intermediate,Advanced,Expert,Beginner,Expert
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Beginner,Beginner,Intermediate,Expert,Advanced,Advanced,Novice,Intermediate,Novice,,,,,,,,,,,,Expert,Expert,Expert,,,,,,,,,,,Expert,Advanced,Beginner,Intermediate,Beginner,,,,,,,,,,
,,,,,,,,,,,Expert,Novice,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novice,Intermediate,Intermediate,Expert,Advanced,,,,Expert,Advanced,Expert,Expert,Advanced,,,,,,,,,,,Expert,Advanced,Beginner,Expert,Advanced,,,,,
,,,,,,,,,,,,,,,,,,,Novice,Novice,Novice,Intermediate,Intermediate,Beginner,Intermediate,Novice,Expert,Novice,,,,,,Advanced,Beginner,Novice,Beginner,Advanced,Beginner,Beginner,Advanced,Advanced,Intermediate,Expert,,,,,,Expert,Intermediate,Expert,,,,,,,,,,,,,,,,Expert,Advanced,Intermediate,Expert,Expert,,,,,
,,,,,,,,,,,Novice,Expert,Beginner,Novice,Advanced,Novice,Advanced,Advanced,Intermediate,Beginner,Expert,Novice,Advanced,,,,,,,,,,,,,,,,Intermediate,Expert,Intermediate,Intermediate,Advanced,Beginner,,,,,,Beginner,Advanced,Beginner,,,,,,Novice,Expert,Novice,Advanced,Intermediate,,,,,,Expert,Expert,Expert,Expert,Beginner,Intermediate,Expert,Advanced,Expert,Expert
Intermediate,Beginner,Beginner,Novice,Expert,Expert,,,,,,,,,,,,,,,,,,,Novice,Novice,Expert,Novice,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Intermediate,Expert,Intermediate,Advanced,,,,,,,,,,,,,,,,Expert,Expert,Advanced,Advanced,Expert
Beginner,Expert,Intermediate,Beginner,Novice,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Novice,Novice,Beginner,Expert,,,,,,,,,,,,Advanced,Beginner,Intermediate,Intermediate,Intermediate,Advanced,Advanced,Intermediate,Expert,Intermediate,Intermediate,Advanced,Beginner,,,,,,,,,,,Intermediate,Intermediate,Beginner,Beginner,Expert
,,,,,,Beginner,Beginner,Intermediate,Novice,Beginner,Expert,Intermediate,Intermediate,,,,,,,,,,,,,,,,Novice,Advanced,Novice,Novice,Intermediate,,,,,,Advanced,Intermediate,Intermediate,Intermediate,Advanced,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Expert,Beginner,Advanced,Expert,,,,,
,,,,,,,,,,,,,,Novice,Advanced,Expert,Novice,Expert,,,,,,Intermediate,Novice,Beginner,Intermediate,Beginner,,,,,,,,,,,Beginner,Beginner,Novice,Advanced,Expert,Expert,,,,,,Advanced,Advanced,Beginner,,,,,,Beginner,Expert,Intermediate,Advanced,Expert,Advanced,Beginner,Advanced,Advanced,Beginner,,,,,,Expert,Intermediate,Expert,Expert,Expert
,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Beginner,Novice,Expert,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Expert,Expert,Beginner,Expert,,,,,,,,,,,Expert,Beginner,Intermediate,Beginner,Intermediate,Novice,Advanced,Advanced,Expert,Beginner
,,,,,,Novice,Intermediate,Advanced,Novice,Beginner,,,,,,,,,Novice,Expert,Advanced,Beginner,Expert,,,,,,,,,,,Beginner,Intermediate,Expert,Novice,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Advanced,Expert,Advanced,Novice,Expert,Intermediate,Advanced,Intermediate,Advanced
Novice,Expert,Advanced,Novice,Expert,Beginner,,,,,,Intermediate,Beginner,Intermediate,,,,,,,,,,,Novice,Beginner,Expert,Intermediate,Advanced,,,,,,,,,,,Intermediate,Expert,Expert,Advanced,Expert,Intermediate,,,,,,Beginner,Intermediate,Advanced,,,,,,Beginner,Expert,Expert,Expert,Beginner,Advanced,Novice,Expert,Expert,Advanced,,,,,,Beginner,Intermediate,Beginner,Intermediate,Expert
,,,,,,,,,,,,,,,,,,,Novice,Novice,Beginner,Beginner,Intermediate,,,,,,,,,,,Intermediate,Expert,Novice,Novice,Expert,Expert,Expert,Intermediate,Expert,Novice,Expert,,,,,,Expert,Intermediate,Expert,Advanced,Beginner,Intermediate,Expert,Advanced,,,,,,Beginner,Beginner,Advanced,Advanced,Beginner,,,,,,,,,,
,,,,,,,,,,,Novice,Expert,Intermediate,,,,,,,,,,,Intermediate,Intermediate,Novice,Intermediate,Intermediate,,,,,,,,,,,,,,,,,Intermediate,Novice,Expert,Advanced,Expert,Advanced,Expert,Novice,Advanced,Expert,Advanced,Expert,Expert,,,,,,,,,,,Advanced,Expert,Expert,Advanced,Expert,Advanced,Beginner,Expert,Expert,Expert
Advanced,Novice,Novice,Novice,Beginner,Novice,,,,,,,,,,,,,,Beginner,Beginner,Intermediate,Intermediate,Novice,Expert,Intermediate,Intermediate,Beginner,Novice,,,,,,,,,,,Expert,Expert,Advanced,Intermediate,Intermediate,Novice,,,,,,,,,,,,,,,,,,,Advanced,Intermediate,Advanced,Expert,Expert,Expert,Expert,Beginner,Expert,Intermediate,,,,,
Intermediate,Novice,Intermediate,Advanced,Advanced,Beginner,,,,,,,,,,,,,,Novice,Beginner,Beginner,Beginner,Novice,,,,,,Intermediate,Expert,Novice,Beginner,Expert,,,,,,Expert,Expert,Expert,Intermediate,Expert,Expert,,,,,,Advanced,Expert,Beginner,Beginner,Intermediate,Advanced,Advanced,Novice,,,,,,,,,,,,,,,,,,,,
Advanced,Intermediate,Novice,Expert,Novice,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novice,Intermediate,Advanced,Expert,Novice,Expert,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Intermediate,Advanced,Intermediate,Expert,,,,,
,,,,,,,,,,,,,,Novice,Intermediate,Advanced,Novice,Expert,,,,,,,,,,,Advanced,Advanced,Advanced,Novice,Beginner,,,,,,Beginner,Novice,Expert,Beginner,Advanced,Advanced,Expert,Advanced,Expert,Expert,Beginner,,,,Advanced,Expert,Advanced,Intermediate,Intermediate,,,,,,,,,,,Intermediate,Advanced,Expert,Expert,Expert,,,,,
Expert,Beginner,Advanced,Novice,Beginner,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Advanced,Advanced,Intermediate,Advanced,Expert,Intermediate,Expert,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Beginner,Novice,Novice,,,,,,,,,,,,,,,,Expert,Novice,Beginner,Expert,Novice,,,,,,,,,,,,,,,,,,,,Expert,Expert,Advanced,Advanced,Expert,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Beginner,Novice,Expert,,,,,,,,,,,,,,,,Intermediate,Intermediate,Beginner,Beginner,Novice,,,,,,,,,,,,,,,,,,,,Expert,Expert,Expert,Intermediate,Intermediate,Advanced,Intermediate,Expert,Intermediate,Expert,Beginner,Beginner,Intermediate,Intermediate,Advanced,Beginner,Advanced,Expert,Intermediate,Expert,,,,,
Advanced,Expert,Intermediate,Novice,Novice,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Expert,Advanced,Intermediate,Expert,Intermediate,Novice,Advanced,Advanced,Expert,Intermediate,Expert,Advanced,Advanced,,,,,,,,,,,,,,,,Advanced,Expert,Advanced,Advanced,Advanced,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Expert,Beginner,Advanced,Beginner,,,,,,,,,,,,,,,,,Novice,Beginner,Expert,,,,,,Expert,Intermediate,Intermediate,Expert,Intermediate,,,,,,,,,,,,,,,
,,,,,,Advanced,Novice,Expert,Advanced,Intermediate,,,,,,,,,Expert,Novice,Intermediate,Novice,Expert,,,,,,Novice,Advanced,Novice,Novice,Novice,,,,,,,,,,,,Advanced,Advanced,Advanced,Expert,Advanced,,,,Advanced,Advanced,Intermediate,Expert,Beginner,Expert,Intermediate,Intermediate,Expert,Expert,,,,,,,,,,,Expert,Advanced,Expert,Advanced,Intermediate
,,,,,,Novice,Novice,Novice,Beginner,Novice,,,,,,,,,,,,,,,,,,,Expert,Novice,Beginner,Intermediate,Beginner,Beginner,Intermediate,Beginner,Novice,Advanced,Advanced,Intermediate,Beginner,Advanced,Expert,Intermediate,,,,,,,,,Beginner,Intermediate,Intermediate,Expert,Expert,,,,,,,,,,,,,,,,Beginner,Expert,Intermediate,Advanced,Beginner
,,,,,,,,,,,,,,Beginner,Intermediate,Novice,Beginner,Beginner,,,,,,,,,,,,,,,,Expert,Beginner,Intermediate,Novice,Novice,Expert,Intermediate,Advanced,Expert,Expert,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Expert,Intermediate,Novice,Novice,Beginner,,,,,,,,,,,,,,,,,,,Beginner,Beginner,Novice,Novice,Expert,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Expert,Intermediate,Expert,Expert,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Novice,Novice,Intermediate,Intermediate,Novice,,,,,,Novice,Novice,Novice,Beginner,Advanced,Beginner,Novice,Expert,Beginner,Intermediate,,,,,,Beginner,Advanced,Advanced,Advanced,Expert,Advanced,Expert,Advanced,Intermediate,Expert,Intermediate,,,,Intermediate,Expert,Intermediate,Beginner,Expert,,,,,,,,,,,Advanced,Intermediate,Beginner,Advanced,Expert,Novice,Intermediate,Intermediate,Novice,Novice
,,,,,,Beginner,Beginner,Intermediate,Expert,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Expert,Intermediate,Expert,Advanced,,,,Beginner,Expert,Intermediate,Expert,Advanced,Intermediate,Beginner,Advanced,Advanced,Advanced,,,,,,,,,,,Novice,Beginner,Expert,Intermediate,Expert
,,,,,,,,,,,Beginner,Beginner,Intermediate,,,,,,Intermediate,Expert,Novice,Beginner,Novice,,,,,,,,,,,,,,,,,,,,,,Intermediate,Intermediate,Intermediate,Expert,Expert,Expert,Intermediate,Advanced,,,,,,Advanced,Expert,Intermediate,Expert,Intermediate,Advanced,Expert,Expert,Expert,Advanced,Beginner,Expert,Expert,Expert,Beginner,,,,,
,,,,,,,,,,,Novice,Advanced,Expert,,,,,,,,,,,,,,,,,,,,,Novice,Expert,Expert,Expert,Novice,,,,,,,Beginner,Advanced,Expert,Advanced,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Expert,Novice,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Advanced,Beginner,Expert,Intermediate,Expert,,,,,,Beginner,Novice,Expert,,,,,,Intermediate,Intermediate,Expert,Expert,Advanced,,,,,,Expert,Advanced,Expert,Intermediate,Expert,Advanced,Expert,Advanced,Intermediate,Expert
Advanced,Intermediate,Novice,Novice,Expert,Intermediate,,,,,,Advanced,Novice,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Advanced,Expert,Advanced,Expert,,,,,,Expert,Beginner,Intermediate,Expert,Expert,Intermediate,Novice,Advanced,Beginner,Advanced,,,,,
Intermediate,Intermediate,Beginner,Beginner,Beginner,Novice,,,,,,,,,,,,,,,,,,,Intermediate,Intermediate,Expert,Beginner,Expert,,,,,,,,,,,,,,,,,Advanced,Expert,Expert,Intermediate,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Novice,Beginner,Novice,Novice,Novice,Novice,Intermediate,Novice,Novice,Expert,Intermediate,Novice,Expert,Advanced,Advanced,,,,,,Advanced,Expert,Advanced,,,,,,,,,,,,,,,,,,,,,Expert,Advanced,Intermediate,Advanced,Expert
,,,,,,Intermediate,Novice,Expert,Beginner,Expert,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Intermediate,Novice,Advanced,Novice,Beginner,Expert,Advanced,Intermediate,Expert,Intermediate,,,,,,,,,Expert,Advanced,Expert,Expert,Expert,,,,,,,,,,,Expert,Expert,Beginner,Beginner,Beginner,,,,,
Intermediate,Beginner,Advanced,Intermediate,Novice,Advanced,,,,,,Novice,Intermediate,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Intermediate,Expert,Advanced,Expert,,,,,,Expert,Intermediate,Advanced,Novice,Expert,,,,,
Intermediate,Novice,Expert,Advanced,Novice,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Expert,Advanced,Advanced,Beginner,,,,Advanced,Advanced,Advanced,Intermediate,Expert,Novice,Intermediate,Beginner,Expert,Expert,Intermediate,Expert,Advanced,Advanced,Advanced,,,,,,,,,,
Beginner,Advanced,Expert,Intermediate,Beginner,Beginner,,,,,,,,,Beginner,Novice,Novice,Intermediate,Novice,,,,,,,,,,,,,,,,,,,,,Beginner,Advanced,Novice,Expert,Novice,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novice,Expert,Intermediate,Intermediate,Advanced
Beginner,Advanced,Intermediate,Novice,Intermediate,Beginner,,,,,,,,,,,,,,Beginner,Expert,Intermediate,Expert,Beginner,Beginner,Expert,Advanced,Intermediate,Novice,,,,,,,,,,,Beginner,Expert,Intermediate,Advanced,Beginner,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novice,Expert,Novice,Advanced,Intermediate
Novice,Advanced,Novice,Novice,Beginner,Novice,,,,,,Expert,Novice,Intermediate,,,,,,,,,,,,,,,,,,,,,Novice,Novice,Advanced,Intermediate,Novice,,,,,,,Advanced,Expert,Advanced,Expert,Intermediate,Advanced,Intermediate,Intermediate,Intermediate,Advanced,Intermediate,Expert,Intermediate,Novice,Advanced,Advanced,Beginner,Beginner,,,,,,,,,,,Beginner,Novice,Intermediate,Advanced,Beginner
Beginner,Novice,Advanced,Expert,Novice,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Expert,Intermediate,Advanced,Expert,Intermediate,Advanced,Intermediate,Expert,Expert,Intermediate,Expert,Expert,,,,,,,,,,,Intermediate,Intermediate,Expert,Intermediate,Intermediate,Advanced,Novice,Advanced,Beginner,Intermediate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Beginner,Novice,Expert,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Intermediate,Advanced,Advanced,Beginner,,,,,,,,,,
,,,,,,,,,,,Novice,Beginner,Intermediate,,,,,,Expert,Intermediate,Intermediate,Beginner,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Expert,Beginner,Expert,Expert,Advanced,Intermediate,Advanced,Expert,Intermediate,Expert,Advanced,Advanced,Beginner,Advanced,Expert,Expert,Novice,Expert,Advanced,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Beginner,Beginner,Intermediate,Expert,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Advanced,Expert,Expert,Novice,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Novice,Expert,Novice,Novice,Novice,,,,,,,,,,,Advanced,Advanced,Expert,Novice,Beginner,Novice,,,,,,Expert,Advanced,Expert,Expert,Intermediate,Advanced,Expert,Expert,,,,,,,,,,,Advanced,Expert,Beginner,Expert,Advanced,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Novice,Beginner,Beginner,Advanced,Expert,,,,,,,,,,,,,,,,,,,,,,Expert,Expert,Expert,,,,,,,,,,,,,,,,Expert,Advanced,Advanced,Expert,Intermediate,Expert,Intermediate,Advanced,Intermediate,Expert
Intermediate,Expert,Novice,Expert,Novice,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Novice,Novice,Intermediate,Novice,,,,,,Advanced,Expert,Beginner,Intermediate,Expert,Advanced,,,,,,Expert,Intermediate,Expert,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Novice,Beginner,Expert,Intermediate,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Expert,Novice,Advanced,Expert,Expert
,,,,,,,,,,,,,,,,,,,Intermediate,Expert,Novice,Novice,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Expert,Advanced,Beginner,Novice,Beginner,Expert,Intermediate,Intermediate,Advanced,Intermediate,Expert,Expert,Expert,Expert,Advanced,Advanced,Beginner,,,,,,Advanced,Advanced,Expert,Expert,Advanced
,,,,,,,,,,,Beginner,Expert,Novice,,,,,,,,,,,,,,,,,,,,,Intermediate,Advanced,Intermediate,Expert,Beginner,,,,,,,,,,,,Expert,Expert,Beginner,Advanced,Novice,Beginner,Expert,Expert,,,,,,Expert,Advanced,Novice,Expert,Expert,Intermediate,Expert,Advanced,Expert,Advanced,,,,,
,,,,,,,,,,,,,,,,,,,Beginner,Beginner,Advanced,Beginner,Intermediate,Novice,Intermediate,Advanced,Novice,Intermediate,Novice,Intermediate,Expert,Beginner,Beginner,,,,,,,,,,,,,,,,,,,,Expert,Advanced,Expert,Intermediate,Intermediate,,,,,,Expert,Intermediate,Expert,Expert,Intermediate,,,,,,,,,,
,,,,,,,,,,,Novice,Advanced,Novice,,,,,,Advanced,Expert,Intermediate,Advanced,Beginner,,,,,,,,,,,,,,,,Expert,Intermediate,Expert,Intermediate,Advanced,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Beginner,Expert,Novice,Advanced,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intermediate,Advanced,Beginner,Novice,Intermediate,Expert,Intermediate,Novice,Advanced,Expert,Expert,Expert,Intermediate,,,,,,,,,,,,,,,,Expert,Expert,Expert,Advanced,Expert
Beginner,Novice,Novice,Expert,Advanced,Intermediate,,,,,,,,,Intermediate,Novice,Expert,Intermediate,Expert,,,,,,,,,,,,,,,,Beginner,Novice,Beginner,Intermediate,Beginner,Intermediate,Beginner,Beginner,Advanced,Advanced,Beginner,,,,,,,,,Intermediate,Advanced,Intermediate,Expert,Expert,Expert,Beginner,Advanced,Expert,Advanced,Expert,Advanced,Advanced,Novice,Advanced,,,,,,Advanced,Intermediate,Advanced,Intermediate,Expert
,,,,,,,,,,,,,,,,,,,Intermediate,Beginner,Novice,Novice,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Advanced,Expert,Intermediate,Expert,,,,,,,,,,
,,,,,,,,,,,Intermediate,Novice,Novice,,,,,,Beginner,Beginner,Expert,Novice,Expert,,,,,,,,,,,,,,,,,,,,,,,,,,,Beginner,Novice,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Novice,Beginner,Advanced,Expert,Expert,,,,,,,,,,,Novice,Beginner,Expert,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Expert,Expert,,,,Advanced,Advanced,Advanced,Advanced,Expert,Beginner,Advanced,Advanced,Intermediate,Expert,,,,,,,,,,,,,,,
Expert,Novice,Expert,Novice,Beginner,Novice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novice,Expert,Expert,Intermediate,Novice,Expert,Expert,Advanced,Expert,Advanced,,,,,,Expert,Novice,Beginner,Beginner,Expert,,,,,
,,,,,,Beginner,Novice,Intermediate,Novice,Beginner,,,,Novice,Advanced,Expert,Beginner,Novice,,,,,,,,,,,Expert,Novice,Novice,Beginner,Advanced,,,,,,,,,,,,,,,,,Expert,Advanced,Beginner,,,,,,,,,,,,,,,,,,,,,,,,,
Novice,Beginner,Novice,Beginner,Novice,Beginner,,,,,,Advanced,Beginner,Advanced,Beginner,Expert,Expert,Advanced,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced,Novice,Intermediate,Intermediate,Expert,Expert,Expert,Advanced,,,,,,,,,,,Beginner,Expert,Novice,Expert,Advanced,Beginner,Advanced,Expert,Beginner,Expert,Beginner,Advanced,Expert,Intermediate,Expert
Advanced,Novice,Advanced,Novice,Beginner,Novice,,,,,,,,,Beginner,Novice,Novice,Novice,Novice,,,,,,Expert,Novice,Novice,Intermediate,Intermediate,,,,,,,,,,,,,,,,,Expert,Advanced,Advanced,Beginner,Expert,,,,,,,,,Advanced,Beginner,Expert,Intermediate,Beginner,,,,,,,,,,,,,,,
Beginner,Novice,Intermediate,Intermediate,Beginner,Novice,,,,,,Novice,Expert,Intermediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novice,Expert,Intermediate,Advanced,Expert,,,,,,Expert,Advanced,Advanced,Intermediate,Expert,,,,,
Novice,Advanced,Expert,Novice,Novice,Novice,,,,,,,,,,,,,,,,,,,Advanced,Novice,Beginner,Intermediate,Novice,,,,,,,,,,,Expert,Intermediate,Expert,Advanced,Novice,Beginner,,,,,,Expert,Intermediate,Advanced,,,,,,Expert,Intermediate,Expert,Intermediate,Intermediate,,,,,,,,,,,,,,,
